Model,Loss,Hidden Dim,Num Layers,LR,Dropout,Bidirectional,Past Size,Window Size,Epochs,ExactMatch,Macro F1,Micro F1,Status,GPU
LSTM-Large-LR5e5-W100-P10,BCEWithLogits,256,2,5e-05,0.3,True,10,100,10,95.58602742468233,20.857715555059997,28.915662650602414,Success,0
LSTM-Large-LR5e5-W200-P10,BCEWithLogits,256,2,5e-05,0.3,True,10,200,10,95.69612651386224,22.824649233800066,31.722054380664655,Success,1
LSTM-Large-LR5e5-W500-P10,BCEWithLogits,256,2,5e-05,0.3,True,10,500,10,95.69612651386265,22.109457748843937,29.74203338391502,Success,0
LSTM-XLarge-LR5e4-W100-P10,BCEWithLogits,256,3,0.0005,0.3,True,10,100,10,96.13652287058352,22.46877765340876,32.587859424920126,Success,1
LSTM-XLarge-LR5e4-W200-P10,BCEWithLogits,256,3,0.0005,0.3,True,10,200,10,96.62696426784122,29.67774936061381,42.60731319554849,Success,0
LSTM-XLarge-LR5e4-W500-P10,BCEWithLogits,256,3,0.0005,0.3,True,10,500,10,96.38674807326619,26.97636237280626,37.98701298701299,Success,1
LSTM-XLarge-LR1e4-W100-P10,BCEWithLogits,256,3,0.0001,0.3,True,10,100,10,95.34581123010717,18.14077459812754,25.47584187408492,Success,0
LSTM-XLarge-LR1e4-W200-P10,BCEWithLogits,256,3,0.0001,0.3,True,10,200,10,96.0764688219395,25.62872553651366,35.78947368421053,Success,1
LSTM-XLarge-LR1e4-W500-P10,BCEWithLogits,256,3,0.0001,0.3,True,10,500,10,95.85627064357926,22.59179861219167,32.098765432098766,Success,0
LSTM-XLarge-LR5e5-W100-P10,BCEWithLogits,256,3,5e-05,0.3,True,10,100,10,95.12561305174677,17.62795679074749,23.802612481857764,Success,1
LSTM-XLarge-LR5e5-W200-P10,BCEWithLogits,256,3,5e-05,0.3,True,10,200,10,95.40586527875085,21.52551916019671,27.16763005780347,Success,0
LSTM-XLarge-LR5e5-W500-P10,BCEWithLogits,256,3,5e-05,0.3,True,10,500,10,95.36582924632157,19.560594160760044,25.816023738872406,Success,1
LSTM-Medium-Uni-LR1e3-W200-P10,BCEWithLogits,128,2,0.001,0.3,False,10,200,10,96.08647783004707,16.627959524511247,25.585585585585584,Success,0
LSTM-Medium-Uni-LR5e4-W200-P10,BCEWithLogits,128,2,0.0005,0.3,False,10,200,10,95.90631568411587,13.746995477993028,21.86379928315412,Success,1
LSTM-Medium-Uni-LR1e4-W200-P10,BCEWithLogits,128,2,0.0001,0.3,False,10,200,10,95.17565809228317,5.897832817337462,9.246575342465754,Success,0
